N,epsilon,alpha,pruned_graph_size_mean,pruned_graph_size_std,pruned_graph_size_min,pruned_graph_size_max,#pruned_edges_mean,#pruned_edges_std,#pruned_edges_min,#pruned_edges_max,subgraph_size_mean,subgraph_size_std,subgraph_size_min,subgraph_size_max,#marked_nodes_mean,#marked_nodes_std,#marked_nodes_min,#marked_nodes_max,#unmoved_subtrees_mean,#unmoved_subtrees_std,#unmoved_subtrees_min,#unmoved_subtrees_max,% unmoved_subtrees_mean,% unmoved_subtrees_std,% unmoved_subtrees_min,% unmoved_subtrees_max
250,0.1,1,1.005049038034378,0.16724416734360031,1,20,1146.076,311.5445493408607,79,2209,1.0018367904862795,0.11397741438413221,1,20,468.208,89.18899447801842,31,954,1.956,1.494678560761477,0,8,0.4034120093884986,0.2984254792270407,0.0,1.2526096033402923,
250,0.1,5,1.0,0.0,1,1,1148.44,311.56184362017115,79,2217,1.0,0.0,1,1,74.384,17.29429223761412,4,168,0.328,0.5625086665999023,0,2,0.42737125889819083,0.733379756433342,0.0,2.941176470588235,
250,0.1,10,1.0,0.0,1,1,1148.44,311.56184362017115,79,2217,1.0,0.0,1,1,0.064,0.24475293665245365,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
250,0.5,0.1,1.1753810517381618,7.304779080542955,1,553,1069.092,350.22075828825456,4,1944,1.032685574848817,3.134694407280269,1,424,452.432,113.61702942781069,1,773,1.916,1.6189329819359417,0,11,0.3983379497480589,0.3240610219815993,0.0,2.2267206477732793,
250,0.5,0.5,1.0042466893156763,0.1388310790891994,1,11,1146.48,311.6556330310749,79,2216,1.0008060042986895,0.06097024017100133,1,11,461.536,90.25825560024967,35,975,1.968,1.5770149016417063,0,10,0.4110830674681698,0.3083024353074212,0.0,1.5250544662309369,
250,0.5,1,1.000786104261116,0.05239620862462301,1,7,1148.148,311.57541317632877,79,2216,1.0001938339273984,0.02499076662874521,1,6,371.452,72.35904709156968,26,750,1.512,1.3978039919817085,0,7,0.38957005634931746,0.3473869079320556,0.0,1.7456359102244388,
250,0.5,5,250,1,0.1,1.04422379669361,2.7500076624575103,1,423,1127.168,323.25391223618624,4,2181,1.0047483617736088,0.5883243510798609,1,138,481.008,99.88213021356724,1,979,2.0,1.7618172436436192,0,10,0.3995948833891556,0.3470556723527173,0.0,2.0242914979757085,
250,1,0.5,1.0023134438851051,0.09966545493701455,1,9,1147.44,311.53240345106957,79,2216,1.0006755256144506,0.052066302907806165,1,9,432.256,84.6844405070967,33,888,1.732,1.4792484578325575,0,8,0.3906237173735449,0.33336753766140176,0.0,1.7543859649122806,
250,1,0.9,1.0004236054115592,0.03638114167501602,1,6,1148.312,311.56199809347737,79,2216,1.0000661883455562,0.010914881634901891,1,3,302.168,59.97262522184601,16,614,1.292,1.2094362322999919,0,5,0.41164182829372203,0.3792489600931905,0.0,1.6835016835016834,
250,5,0.1,1.0071385632702134,0.3208890467424938,1,40,1145.02,309.84084236911053,79,2179,1.0016948869518751,0.14257426690646474,1,39,479.088,93.30414918962607,28,979,1.948,1.4782746700123086,0,8,0.39349990572008936,0.2896931254888479,0.0,1.3186813186813187,
250,5,0.5,1.0001091941471938,0.013489934097728919,1,3,1148.416,311.55789661634316,79,2217,1.0,0.0,1,1,219.792,44.03649323004728,15,453,0.916,0.986379237413278,0,5,0.3950319609490647,0.4029828024287805,0.0,1.8691588785046727,
250,5,0.9,1.0,0.0,1,1,1148.44,311.56184362017115,79,2217,1.0,0.0,1,1,17.012,5.516870127164496,0,48,0.06,0.23748684174075835,0,1,0.3742400870543286,1.5359953045169958,0.0,10.0,
250,10,0.1,1.0043520640240775,0.14540585950368934,1,18,1146.404,311.5420241058981,79,2215,1.001564690994904,0.08335996561294959,1,7,467.824,90.441279424829,35,950,1.98,1.6430459518832696,0,12,0.405346058116847,0.3160398484517583,0.0,1.6913319238900635,
